<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.10.27	12:00:00	1.40190	1.40224	1.40044	1.40174	2800	0	8
2011.10.27	12:30:00	1.40175	1.40341	1.40104	1.40313	2569	0	7
2011.10.27	13:00:00	1.40314	1.40367	1.40167	1.40202	2844	0	7
2011.10.27	13:30:00	1.40204	1.40328	1.40191	1.40296	2694	0	8
2011.10.27	14:00:00	1.40297	1.40533	1.40292	1.40431	2866	0	7
2011.10.27	14:30:00	1.40429	1.40691	1.40408	1.40672	3263	0	7
2011.10.27	15:00:00	1.40671	1.41422	1.40665	1.41361	2616	0	7
2011.10.27	15:30:00	1.41358	1.41454	1.41147	1.41270	3610	0	8
2011.10.27	16:00:00	1.41272	1.41322	1.41091	1.41109	3433	0	7
2011.10.27	16:30:00	1.41106	1.41492	1.41103	1.41426	3190	0	7
2011.10.27	17:00:00	1.41428	1.41798	1.41348	1.41625	3203	0	7
2011.10.27	17:30:00	1.41625	1.41830	1.41617	1.41718	2750	0	7
2011.10.27	18:00:00	1.41717	1.42171	1.41707	1.42031	2745	0	8
2011.10.27	18:30:00	1.42032	1.42032	1.41859	1.41860	2723	0	8
2011.10.27	19:00:00	1.41861	1.42025	1.41814	1.42002	2684	0	8
2011.10.27	19:30:00	1.42003	1.42336	1.41977	1.42317	2624	0	8
2011.10.27	20:00:00	1.42316	1.42460	1.42111	1.42176	2180	0	13
2011.10.27	20:30:00	1.42177	1.42192	1.42044	1.42079	1922	0	12
2011.10.27	21:00:00	1.42080	1.42191	1.41941	1.41956	2135	0	13
2011.10.27	21:30:00	1.41957	1.42008	1.41745	1.41840	2213	0	13
2011.10.27	22:00:00	1.41841	1.41914	1.41840	1.41871	1123	0	12
2011.10.27	22:30:00	1.41870	1.41878	1.41817	1.41876	1146	0	12
2011.10.27	23:00:00	1.41875	1.41949	1.41868	1.41872	1232	0	19
2011.10.27	23:30:00	1.41871	1.41875	1.41744	1.41844	1238	0	14
2011.10.28	00:00:00	1.41843	1.41843	1.41685	1.41685	1302	0	14
2011.10.28	00:30:00	1.41686	1.41782	1.41686	1.41729	1148	0	13
2011.10.28	01:00:00	1.41730	1.41849	1.41685	1.41830	1034	0	13
2011.10.28	01:30:00	1.41832	1.42001	1.41829	1.41984	1223	0	13
2011.10.28	02:00:00	1.41985	1.41985	1.41648	1.41699	1779	0	13
2011.10.28	02:30:00	1.41698	1.41849	1.41684	1.41823	1656	0	13
2011.10.28	03:00:00	1.41824	1.41845	1.41717	1.41727	1311	0	12
2011.10.28	03:30:00	1.41727	1.41820	1.41727	1.41739	1423	0	13
2011.10.28	04:00:00	1.41736	1.41759	1.41660	1.41709	1324	0	13
2011.10.28	04:30:00	1.41707	1.41714	1.41644	1.41680	1235	0	13
2011.10.28	05:00:00	1.41681	1.41754	1.41639	1.41681	1049	0	12
2011.10.28	05:30:00	1.41680	1.41730	1.41597	1.41671	1366	0	13
2011.10.28	06:00:00	1.41670	1.41753	1.41652	1.41704	1726	0	7
2011.10.28	06:30:00	1.41700	1.41740	1.41677	1.41731	1349	0	8
2011.10.28	07:00:00	1.41732	1.41805	1.41713	1.41785	1454	0	7
2011.10.28	07:30:00	1.41784	1.41864	1.41702	1.41845	1724	0	6
2011.10.28	08:00:00	1.41845	1.41962	1.41766	1.41828	2268	0	6
2011.10.28	08:30:00	1.41827	1.41878	1.41617	1.41820	2672	0	8
2011.10.28	09:00:00	1.41820	1.41822	1.41555	1.41636	2927	0	7
2011.10.28	09:30:00	1.41638	1.41770	1.41592	1.41700	2884	0	7
2011.10.28	10:00:00	1.41700	1.41973	1.41648	1.41878	3007	0	7
2011.10.28	10:30:00	1.41879	1.41914	1.41729	1.41790	2785	0	6
2011.10.28	11:00:00	1.41789	1.41869	1.41613	1.41678	2778	0	7
2011.10.28	11:30:00	1.41678	1.41870	1.41571	1.41750	2812	0	6
2011.10.28	12:00:00	1.41746	1.41751	1.41416	1.41495	2908	0	9
2011.10.28	12:30:00	1.41497	1.41588	1.41428	1.41549	2768	0	8
2011.10.28	13:00:00	1.41550	1.41813	1.41486	1.41547	2930	0	6
2011.10.28	13:30:00	1.41548	1.41637	1.41331	1.41562	3063	0	7
2011.10.28	14:00:00	1.41563	1.41735	1.41562	1.41722	2543	0	8
2011.10.28	14:30:00	1.41723	1.41775	1.41533	1.41641	2957	0	9
2011.10.28	15:00:00	1.41641	1.41653	1.41408	1.41432	2849	0	7
2011.10.28	15:30:00	1.41432	1.41640	1.41359	1.41541	3478	0	8
2011.10.28	16:00:00	1.41540	1.41656	1.41380	1.41552	3405	0	9
2011.10.28	16:30:00	1.41550	1.41805	1.41515	1.41744	3342	0	9
2011.10.28	17:00:00	1.41744	1.41880	1.41644	1.41681	3185	0	7
2011.10.28	17:30:00	1.41679	1.41763	1.41577	1.41628	2648	0	8
2011.10.28	18:00:00	1.41629	1.41676	1.41497	1.41516	2310	0	7
2011.10.28	18:30:00	1.41518	1.41630	1.41501	1.41612	2044	0	8
2011.10.28	19:00:00	1.41610	1.41692	1.41573	1.41675	1962	0	6
2011.10.28	19:30:00	1.41674	1.41712	1.41571	1.41675	2019	0	8
2011.10.28	20:00:00	1.41674	1.41744	1.41601	1.41696	1533	0	12
2011.10.28	20:30:00	1.41695	1.41733	1.41497	1.41530	1499	0	12
2011.10.28	21:00:00	1.41531	1.41607	1.41481	1.41604	1314	0	13
2011.10.28	21:30:00	1.41605	1.41664	1.41545	1.41571	1598	0	13
2011.10.28	22:00:00	1.41575	1.41608	1.41531	1.41605	854	0	12
2011.10.28	22:30:00	1.41604	1.41605	1.41442	1.41489	865	0	13
2011.10.28	23:00:00	1.41482	1.41482	1.41453	1.41453	10	0	53
2011.10.31	00:00:00	1.41501	1.41616	1.41396	1.41468	976	0	21
2011.10.31	00:30:00	1.41467	1.41480	1.41416	1.41432	954	0	13
2011.10.31	01:00:00	1.41434	1.41539	1.41403	1.41430	754	0	12
2011.10.31	01:30:00	1.41429	1.41452	1.41369	1.41378	705	0	12
2011.10.31	02:00:00	1.41377	1.41427	1.41341	1.41370	1030	0	12
2011.10.31	02:30:00	1.41372	1.41507	1.41360	1.41503	1226	0	12
2011.10.31	03:00:00	1.41503	1.41695	1.41228	1.41302	1771	0	12
2011.10.31	03:30:00	1.41299	1.41317	1.40781	1.40919	3542	0	15
2011.10.31	04:00:00	1.40915	1.41174	1.40376	1.40554	3380	0	14
2011.10.31	04:30:00	1.40550	1.40590	1.40282	1.40473	2708	0	13
2011.10.31	05:00:00	1.40472	1.40499	1.40231	1.40253	1620	0	13
2011.10.31	05:30:00	1.40254	1.40413	1.40139	1.40142	1880	0	13
2011.10.31	06:00:00	1.40143	1.40151	1.40002	1.40021	1626	0	13
2011.10.31	06:30:00	1.40021	1.40136	1.39897	1.39899	1607	0	12
2011.10.31	07:00:00	1.39902	1.40075	1.39863	1.40073	1931	0	6
2011.10.31	07:30:00	1.40072	1.40202	1.39957	1.39976	2181	0	7
2011.10.31	08:00:00	1.39975	1.39985	1.39753	1.39957	2511	0	8
2011.10.31	08:30:00	1.39957	1.40362	1.39868	1.40317	2586	0	6
2011.10.31	09:00:00	1.40316	1.40390	1.39981	1.40095	2722	0	6
2011.10.31	09:30:00	1.40094	1.40502	1.39961	1.40440	2766	0	7
2011.10.31	10:00:00	1.40439	1.40532	1.40140	1.40208	3162	0	8
2011.10.31	10:30:00	1.40210	1.40243	1.39882	1.39948	3330	0	8
2011.10.31	11:00:00	1.39947	1.40079	1.39880	1.39974	2971	0	9
2011.10.31	11:30:00	1.39975	1.40019	1.39822	1.39972	2623	0	7
2011.10.31	12:00:00	1.39975	1.40016	1.39786	1.39999	2565	0	7
2011.10.31	12:30:00	1.40005	1.40153	1.39903	1.40122	2388	0	7
2011.10.31	13:00:00	1.40121	1.40214	1.40036	1.40113	2216	0	8
2011.10.31	13:30:00	1.40111	1.40120	1.39932	1.40110	2265	0	7
2011.10.31	14:00:00	1.40112	1.40151	1.39932	1.39973	2164	0	7
2011.10.31	14:30:00	1.39970	1.40093	1.39695	1.40003	2734	0	6
2011.10.31	15:00:00	1.40005	1.40255	1.39963	1.40051	2520	0	6
2011.10.31	15:30:00	1.40052	1.40101	1.39862	1.39917	3057	0	7
2011.10.31	16:00:00	1.39917	1.40036	1.39787	1.40009	3051	0	7
2011.10.31	16:30:00	1.40008	1.40110	1.39836	1.39836	2934	0	6
2011.10.31	17:00:00	1.39836	1.39880	1.39488	1.39535	3181	0	8
2011.10.31	17:30:00	1.39533	1.39670	1.39311	1.39476	3086	0	6
2011.10.31	18:00:00	1.39478	1.39581	1.39058	1.39092	2675	0	7
2011.10.31	18:30:00	1.39093	1.39321	1.39086	1.39269	2540	0	7
2011.10.31	19:00:00	1.39268	1.39380	1.39210	1.39230	2413	0	8
2011.10.31	19:30:00	1.39228	1.39525	1.39228	1.39456	2210	0	7
2011.10.31	20:00:00	1.39461	1.39485	1.39273	1.39360	2378	0	8
2011.10.31	20:30:00	1.39360	1.39398	1.39134	1.39228	2381	0	7
2011.10.31	21:00:00	1.39228	1.39258	1.38529	1.38541	2310	0	13
2011.10.31	21:30:00	1.38542	1.38624	1.38287	1.38357	2641	0	13
2011.10.31	22:00:00	1.38348	1.38484	1.38343	1.38476	1492	0	12
2011.10.31	22:30:00	1.38477	1.38621	1.38477	1.38574	1250	0	12
2011.10.31	23:00:00	1.38573	1.38595	1.38508	1.38567	844	0	14
2011.10.31	23:30:00	1.38566	1.38604	1.38420	1.38594	1186	0	12
2011.11.01	00:00:00	1.38592	1.38601	1.38507	1.38577	1067	0	18
2011.11.01	00:30:00	1.38578	1.38580	1.38391	1.38439	1038	0	13
2011.11.01	01:00:00	1.38437	1.38521	1.38349	1.38486	1321	0	13
2011.11.01	01:30:00	1.38485	1.38609	1.38479	1.38583	1202	0	12
2011.11.01	02:00:00	1.38585	1.38702	1.38299	1.38544	2155	0	12
2011.11.01	02:30:00	1.38547	1.38575	1.38416	1.38510	1807	0	13
2011.11.01	03:00:00	1.38510	1.38510	1.38134	1.38358	1860	0	14
2011.11.01	03:30:00	1.38361	1.38514	1.38297	1.38457	1682	0	13
2011.11.01	04:00:00	1.38457	1.38579	1.38398	1.38530	1205	0	12
2011.11.01	04:30:00	1.38531	1.38584	1.38413	1.38431	1251	0	12
2011.11.01	05:00:00	1.38430	1.38482	1.38400	1.38436	1213	0	13
2011.11.01	05:30:00	1.38436	1.38501	1.38335	1.38450	1643	0	12
2011.11.01	06:00:00	1.38449	1.38449	1.38154	1.38156	1398	0	13
2011.11.01	06:30:00	1.38156	1.38280	1.38103	1.38132	1277	0	13
2011.11.01	07:00:00	1.38133	1.38168	1.37914	1.38006	2144	0	6
2011.11.01	07:30:00	1.38005	1.38221	1.37972	1.38131	1874	0	8
2011.11.01	08:00:00	1.38130	1.38164	1.37990	1.38090	1753	0	7
2011.11.01	08:30:00	1.38087	1.38188	1.37675	1.37681	2431	0	7
2011.11.01	09:00:00	1.37680	1.37743	1.37470	1.37654	3143	0	8
2011.11.01	09:30:00	1.37653	1.37798	1.37621	1.37751	2248	0	8
2011.11.01	10:00:00	1.37752	1.37752	1.36756	1.36898	3413	0	7
2011.11.01	10:30:00	1.36896	1.37134	1.36853	1.37027	3089	0	8
2011.11.01	11:00:00	1.37028	1.37375	1.37027	1.37337	2856	0	6
2011.11.01	11:30:00	1.37335	1.37364	1.37004	1.37013	2905	0	7
2011.11.01	12:00:00	1.37014	1.37111	1.36731	1.36860	3318	0	7
2011.11.01	12:30:00	1.36859	1.36979	1.36802	1.36978	3075	0	7
2011.11.01	13:00:00	1.36975	1.37239	1.36964	1.37199	2840	0	7
2011.11.01	13:30:00	1.37198	1.37198	1.36611	1.36785	3165	0	9
2011.11.01	14:00:00	1.36782	1.36959	1.36496	1.36805	3344	0	7
2011.11.01	14:30:00	1.36804	1.36897	1.36085	1.36369	3604	0	7
2011.11.01	15:00:00	1.36370	1.36394	1.36166	1.36337	3266	0	7
2011.11.01	15:30:00	1.36338	1.36628	1.36272	1.36561	3057	0	8
2011.11.01	16:00:00	1.36562	1.36827	1.36411	1.36791	3600	0	8
2011.11.01	16:30:00	1.36790	1.36995	1.36685	1.36685	3297	0	8
2011.11.01	17:00:00	1.36680	1.36740	1.36543	1.36570	3214	0	7
2011.11.01	17:30:00	1.36569	1.36777	1.36466	1.36761	3352	0	8
2011.11.01	18:00:00	1.36762	1.36963	1.36612	1.36859	3213	0	7
2011.11.01	18:30:00	1.36860	1.37104	1.36776	1.36802	3085	0	8
2011.11.01	19:00:00	1.36804	1.37290	1.36762	1.37204	3099	0	9
2011.11.01	19:30:00	1.37207	1.37632	1.37207	1.37364	3666	0	7
2011.11.01	20:00:00	1.37367	1.37535	1.37302	1.37494	3227	0	8
2011.11.01	20:30:00	1.37491	1.37550	1.37063	1.37118	3004	0	8
2011.11.01	21:00:00	1.37118	1.37182	1.36932	1.37054	2698	0	13
2011.11.01	21:30:00	1.37053	1.37320	1.36763	1.36948	2819	0	13
2011.11.01	22:00:00	1.36948	1.37097	1.36917	1.37009	1630	0	13
2011.11.01	22:30:00	1.37010	1.37058	1.36957	1.37006	1162	0	13
2011.11.01	23:00:00	1.37006	1.37014	1.36908	1.36925	899	0	13
2011.11.01	23:30:00	1.36924	1.37025	1.36894	1.36960	1124	0	15
2011.11.02	00:00:00	1.36963	1.37058	1.36939	1.36983	1347	0	18
2011.11.02	00:30:00	1.36986	1.37035	1.36614	1.36614	1475	0	13
2011.11.02	01:00:00	1.36615	1.36636	1.36362	1.36474	2155	0	13
2011.11.02	01:30:00	1.36473	1.36667	1.36404	1.36532	1656	0	12
2011.11.02	02:00:00	1.36531	1.36918	1.36530	1.36805	2026	0	13
2011.11.02	02:30:00	1.36808	1.36997	1.36671	1.36930	1898	0	12
2011.11.02	03:00:00	1.36934	1.37174	1.36934	1.37009	2065	0	13
2011.11.02	03:30:00	1.37007	1.37193	1.36955	1.37066	1695	0	13
2011.11.02	04:00:00	1.37068	1.37087	1.36940	1.36963	1303	0	12
2011.11.02	04:30:00	1.36964	1.37157	1.36964	1.37067	1390	0	13
2011.11.02	05:00:00	1.37065	1.37139	1.37027	1.37139	1174	0	12
2011.11.02	05:30:00	1.37140	1.37289	1.37091	1.37164	1552	0	12
2011.11.02	06:00:00	1.37162	1.37207	1.37130	1.37192	1214	0	12
2011.11.02	06:30:00	1.37193	1.37263	1.37113	1.37154	1232	0	12
2011.11.02	07:00:00	1.37154	1.37250	1.37087	1.37122	1797	0	8
2011.11.02	07:30:00	1.37123	1.37197	1.37114	1.37196	1481	0	7
2011.11.02	08:00:00	1.37198	1.37527	1.37149	1.37457	2439	0	8
2011.11.02	08:30:00	1.37456	1.37460	1.37189	1.37277	2277	0	7
2011.11.02	09:00:00	1.37278	1.37557	1.37122	1.37433	2811	0	6
2011.11.02	09:30:00	1.37434	1.37636	1.37327	1.37581	2906	0	7
2011.11.02	10:00:00	1.37585	1.37883	1.37470	1.37728	3374	0	7
2011.11.02	10:30:00	1.37728	1.37855	1.37591	1.37842	3143	0	9
2011.11.02	11:00:00	1.37840	1.38016	1.37751	1.37829	3071	0	7
2011.11.02	11:30:00	1.37825	1.37960	1.37477	1.37554	3383	0	8
2011.11.02	12:00:00	1.37556	1.37823	1.37509	1.37718	2926	0	7
2011.11.02	12:30:00	1.37717	1.37804	1.37645	1.37688	2840	0	7
2011.11.02	13:00:00	1.37685	1.37836	1.37635	1.37794	2620	0	8
2011.11.02	13:30:00	1.37794	1.37870	1.37632	1.37773	2532	0	8
2011.11.02	14:00:00	1.37774	1.37978	1.37748	1.37868	2790	0	7
2011.11.02	14:30:00	1.37869	1.37923	1.37710	1.37865	2877	0	8
2011.11.02	15:00:00	1.37869	1.38195	1.37867	1.38106	3082	0	7
2011.11.02	15:30:00	1.38105	1.38265	1.37997	1.38052	3428	0	7
2011.11.02	16:00:00	1.38049	1.38109	1.37818	1.37909	3277	0	8
2011.11.02	16:30:00	1.37911	1.38042	1.37738	1.38007	3078	0	8
2011.11.02	17:00:00	1.38007	1.38261	1.38007	1.38057	3037	0	7
2011.11.02	17:30:00	1.38056	1.38111	1.37940	1.38011	2772	0	6
2011.11.02	18:00:00	1.38008	1.38015	1.37662	1.37760	2892	0	7
2011.11.02	18:30:00	1.37759	1.37834	1.37330	1.37330	3538	0	7
2011.11.02	19:00:00	1.37330	1.37403	1.37131	1.37277	3272	0	8
2011.11.02	19:30:00	1.37283	1.37578	1.37255	1.37480	2699	0	6
2011.11.02	20:00:00	1.37480	1.37938	1.37400	1.37454	3226	0	7
2011.11.02	20:30:00	1.37456	1.37729	1.37439	1.37614	2824	0	9
2011.11.02	21:00:00	1.37615	1.37666	1.37403	1.37471	2376	0	13
2011.11.02	21:30:00	1.37471	1.37536	1.37340	1.37348	2156	0	12
2011.11.02	22:00:00	1.37349	1.37406	1.37212	1.37351	1385	0	12
2011.11.02	22:30:00	1.37351	1.37473	1.37349	1.37464	1046	0	13
2011.11.02	23:00:00	1.37465	1.37542	1.37411	1.37456	859	0	13
2011.11.02	23:30:00	1.37455	1.37519	1.37419	1.37473	807	0	14
2011.11.03	00:00:00	1.37473	1.37535	1.37423	1.37438	725	0	15
2011.11.03	00:30:00	1.37439	1.37450	1.37160	1.37264	1669	0	13
2011.11.03	01:00:00	1.37264	1.37310	1.36929	1.36936	1622	0	12
2011.11.03	01:30:00	1.36937	1.37012	1.36836	1.36876	1702	0	13
2011.11.03	02:00:00	1.36878	1.36950	1.36740	1.36922	1623	0	13
2011.11.03	02:30:00	1.36938	1.37090	1.36846	1.36921	1677	0	13
2011.11.03	03:00:00	1.36918	1.36953	1.36735	1.36813	1900	0	12
2011.11.03	03:30:00	1.36812	1.36853	1.36667	1.36725	1429	0	13
2011.11.03	04:00:00	1.36724	1.36876	1.36677	1.36787	1600	0	12
2011.11.03	04:30:00	1.36788	1.36859	1.36650	1.36822	1671	0	13
2011.11.03	05:00:00	1.36818	1.36892	1.36761	1.36858	1335	0	12
2011.11.03	05:30:00	1.36857	1.36985	1.36826	1.36984	1444	0	12
2011.11.03	06:00:00	1.36985	1.37015	1.36892	1.36961	1254	0	12
2011.11.03	06:30:00	1.36960	1.36960	1.36822	1.36933	1108	0	13
2011.11.03	07:00:00	1.36934	1.37150	1.36898	1.37096	1399	0	8
2011.11.03	07:30:00	1.37097	1.37177	1.37023	1.37076	1887	0	8
2011.11.03	08:00:00	1.37077	1.37088	1.36842	1.36874	1915	0	8
2011.11.03	08:30:00	1.36875	1.36996	1.36788	1.36871	2226	0	8
2011.11.03	09:00:00	1.36870	1.36870	1.36565	1.36624	2850	0	7
2011.11.03	09:30:00	1.36623	1.36819	1.36563	1.36729	2609	0	7
2011.11.03	10:00:00	1.36730	1.37121	1.36710	1.37023	3182	0	6
2011.11.03	10:30:00	1.37023	1.37307	1.36968	1.37261	2949	0	8
2011.11.03	11:00:00	1.37262	1.37592	1.37250	1.37457	3276	0	8
2011.11.03	11:30:00	1.37457	1.37898	1.37393	1.37747	3229	0	8
2011.11.03	12:00:00	1.37746	1.38054	1.37746	1.37827	3373	0	8
2011.11.03	12:30:00	1.37827	1.38043	1.37696	1.37933	3176	0	7
2011.11.03	13:00:00	1.37928	1.38162	1.37662	1.37975	3481	0	7
2011.11.03	13:30:00	1.37977	1.38164	1.37780	1.38028	3313	0	8
2011.11.03	14:00:00	1.38029	1.38327	1.38024	1.38192	3033	0	10
2011.11.03	14:30:00	1.38193	1.38218	1.37218	1.37826	3534	0	8
2011.11.03	15:00:00	1.37827	1.37832	1.37466	1.37531	3515	0	9
2011.11.03	15:30:00	1.37529	1.37552	1.36764	1.36854	3689	0	9
2011.11.03	16:00:00	1.36844	1.37394	1.36601	1.37273	3848	0	8
2011.11.03	16:30:00	1.37274	1.37869	1.37262	1.37555	3730	0	8
2011.11.03	17:00:00	1.37557	1.37808	1.37380	1.37633	3355	0	7
2011.11.03	17:30:00	1.37633	1.37660	1.37377	1.37412	3138	0	8
2011.11.03	18:00:00	1.37414	1.37654	1.37364	1.37644	2917	0	8
2011.11.03	18:30:00	1.37643	1.37946	1.37463	1.37908	2788	0	7
2011.11.03	19:00:00	1.37909	1.38337	1.37815	1.38183	2900	0	7
2011.11.03	19:30:00	1.38187	1.38541	1.38084	1.38284	2865	0	9
2011.11.03	20:00:00	1.38285	1.38410	1.38130	1.38177	2518	0	7
2011.11.03	20:30:00	1.38176	1.38325	1.38143	1.38320	1975	0	18
2011.11.03	21:00:00	1.38319	1.38505	1.38286	1.38373	2001	0	13
2011.11.03	21:30:00	1.38374	1.38474	1.38055	1.38131	2113	0	13
2011.11.03	22:00:00	1.38129	1.38184	1.38071	1.38176	999	0	12
